Energy,Counts/s
378,4291.8464
377.9,4311.9674
377.8,4402.8375
377.7,4321.7782
377.6,4301.925
377.5,4176.3309
377.4,4111.683
377.3,4033.1571
377.2,3955.6238
377.1,3931.2876
377,3966.6916
376.9,3960.4527
376.8,4024.5534
376.7,3965.4913
376.6,4123.7025
376.5,4002.6044
376.4,4087.3809
376.3,4142.3046
376.2,4091.4996
376.1,4192.8581
376,4195.9245
375.9,4285.395
375.8,4381.9361
375.7,4566.7404
375.6,4746.5983
375.5,4911.6784
375.4,5193.3656
375.3,5539.3428
375.2,5768.8458
375.1,6614.694
375,7439.4846
374.9,9040.2706
374.8,11449.726
374.7,15161.101
374.6,20647.707
374.5,28327.989
374.4,36974.169
374.3,41576.118
374.2,38820.454
374.1,29295.281
374,20045.428
373.9,13424.364
373.8,9225.2091
373.7,6847.4351
373.6,5493.4192
373.5,4644.9829
373.4,4097.3775
373.3,3697.2086
373.2,3453.8812
373.1,3259.9048
373,3231.8228
372.9,3197.4367
372.8,3124.4086
372.7,3126.3827
372.6,3088.6406
372.5,3121.601
372.4,3273.1137
372.3,3369.7786
372.2,3344.68
372.1,3491.5594
372,3706.4653
371.9,3800.3039
371.8,3850.3899
371.7,3749.1538
371.6,3567.0614
371.5,3442.0181
371.4,3298.2412
371.3,3175.6965
371.2,3064.9055
371.1,3056.0192
371,3053.751
370.9,3020.5076
370.8,3019.6304
370.7,3013.6355
370.6,3088.5197
370.5,3175.1046
370.4,3104.1644
370.3,3254.7698
370.2,3378.547
370.1,3400.0299
370,3583.9065
369.9,3703.1925
369.8,3817.652
369.7,4050.8679
369.6,4340.353
369.5,4673.9627
369.4,5034.838
369.3,5485.5423
369.2,6254.6039
369.1,7171.093
369,8587.3672
368.9,10889.671
368.8,14152.004
368.7,19382.275
368.6,27562.444
368.5,38883.952
368.4,50684.84
368.3,57599.879
368.2,53078.69
368.1,40155.578
368,26789.301
367.9,17272.622
367.8,11290.8
367.7,8026.1773
367.6,5777.8135
367.5,4462.9296
367.4,3616.4938
367.3,3099.955
367.2,2689.561
367.1,2478.829
367,2231.6112
366.9,2025.2361
366.8,1972.5299
366.7,1806.5037
366.6,1748.1868
366.5,1626.2175
366.4,1604.8878
366.3,1512.9511
366.2,1530.2743
366.1,1515.3557
366,1491.689
365.9,1492.7835
365.8,1452.3324
365.7,1358.9046
365.6,1352.759
365.5,1340.3059
365.4,1286.7107
365.3,1305.1436
365.2,1284.2283
365.1,1298.2365
365,1301.1407
