Energy,Counts/s
289,1385.4567
288.9,1407.8728
288.8,1421.5516
288.7,1406.3087
288.6,1482.6862
288.5,1577.9667
288.4,1590.4106
288.3,1622.849
288.2,1668.2892
288.1,1697.8417
288,1797.2217
287.9,1741.101
287.8,1740.6892
287.7,1753.9889
287.6,1801.6178
287.5,1805.504
287.4,1852.0454
287.3,1890.5429
287.2,1926.6462
287.1,2062.5745
287,2131.5735
286.9,2198.2326
286.8,2325.679
286.7,2471.7439
286.6,2696.1964
286.5,2839.9489
286.4,2888.7471
286.3,3039.1138
286.2,3220.2508
286.1,3346.0754
286,3425.7168
285.9,3541.402
285.8,3474.698
285.7,3486.1812
285.6,3521.3597
285.5,3447.5319
285.4,3293.3275
285.3,3227.71
285.2,3090.22
285.1,2917.9258
285,2657.4742
284.9,2464.125
284.8,2273.6531
284.7,2055.43
284.6,1871.9732
284.5,1755.2879
284.4,1607.4259
284.3,1468.1577
284.2,1374.6944
284.1,1318.0317
284,1192.9198
283.9,1109.1702
283.8,1132.0447
283.7,1073.6931
283.6,1081.4288
283.5,1034.0508
283.4,1006.8306
283.3,1017.4118
283.2,1075.5106
283.1,1056.3926
283,1062.7999
282.9,1078.9965
282.8,1052.8377
282.7,1031.1644
282.6,1026.463
282.5,1015.7904
282.4,1069.3631
282.3,1049.0093
282.2,1037.8533
282.1,1010.9167
282,1004.6584
